game_pk,team,hrs
718468,Minnesota Twins,1
718468,Washington Nationals,1
718479,Chicago Cubs,1
718479,Los Angeles Dodgers,4
718475,Philadelphia Phillies,3
718473,Miami Marlins,1
718478,New York Mets,1
718478,San Francisco Giants,2
718477,Chicago White Sox,3
718477,Tampa Bay Rays,1
718472,Baltimore Orioles,1
718472,Detroit Tigers,1
718469,Oakland Athletics,1
718469,Texas Rangers,4
718470,Boston Red Sox,2
718470,Milwaukee Brewers,1
718471,Atlanta Braves,2
718471,Houston Astros,2
718467,Arizona Diamondbacks,1
718467,San Diego Padres,1
718466,Los Angeles Angels,4
718464,Seattle Mariners,2
718464,St. Louis Cardinals,1
718458,Philadelphia Phillies,4
718462,Atlanta Braves,1
718465,New York Yankees,1
718465,Toronto Blue Jays,2
718457,Tampa Bay Rays,2
718460,Cleveland Guardians,2
718460,Miami Marlins,2
718454,Minnesota Twins,2
718461,Boston Red Sox,3
718461,Milwaukee Brewers,2
718451,Chicago Cubs,1
718451,Los Angeles Dodgers,3
718453,Oakland Athletics,1
718453,Texas Rangers,1
718452,Kansas City Royals,3
718452,Los Angeles Angels,3
718456,Arizona Diamondbacks,3
718456,San Diego Padres,1
718450,Seattle Mariners,1
718450,St. Louis Cardinals,3
718455,New York Mets,1
718455,San Francisco Giants,1
718448,Colorado Rockies,1
718447,Boston Red Sox,2
718449,Houston Astros,2
718445,Texas Rangers,2
718444,Toronto Blue Jays,1
718443,Atlanta Braves,5
718442,Minnesota Twins,1
718441,Detroit Tigers,1
718441,Milwaukee Brewers,2
718437,Los Angeles Angels,3
718437,Oakland Athletics,5
718438,Kansas City Royals,1
718446,San Francisco Giants,1
718440,Colorado Rockies,1
718435,Baltimore Orioles,3
718435,Boston Red Sox,1
718432,Los Angeles Dodgers,1
718432,Pittsburgh Pirates,1
718434,Texas Rangers,3
718430,Philadelphia Phillies,1
718430,Seattle Mariners,2
718433,Toronto Blue Jays,2
718431,Washington Nationals,1
718429,Atlanta Braves,3
718429,Miami Marlins,2
718426,Chicago Cubs,1
718427,Minnesota Twins,2
718428,Detroit Tigers,1
718428,Milwaukee Brewers,1
718425,Oakland Athletics,1
718439,San Francisco Giants,2
718439,St. Louis Cardinals,1
718424,Cincinnati Reds,1
718416,Boston Red Sox,1
718420,Toronto Blue Jays,1
718421,Cleveland Guardians,1
718417,Minnesota Twins,3
718417,New York Yankees,1
718419,Milwaukee Brewers,2
718413,Los Angeles Dodgers,1
718415,Philadelphia Phillies,1
718415,Seattle Mariners,2
718412,Washington Nationals,1
718411,Atlanta Braves,2
718411,Miami Marlins,3
718407,Chicago Cubs,1
718408,Los Angeles Angels,3
718408,Oakland Athletics,1
718423,San Francisco Giants,2
718423,St. Louis Cardinals,2
718403,Pittsburgh Pirates,2
718406,Chicago Cubs,3
718406,San Diego Padres,1
718409,St. Louis Cardinals,2
718402,Los Angeles Angels,1
718402,Oakland Athletics,2
718405,Baltimore Orioles,1
718398,New York Mets,1
718398,Washington Nationals,2
718396,Chicago White Sox,1
718396,Tampa Bay Rays,3
718400,Kansas City Royals,1
718400,Minnesota Twins,2
718397,New York Yankees,3
718387,Kansas City Royals,1
718387,Minnesota Twins,3
718391,Chicago Cubs,1
718392,Seattle Mariners,1
718392,Toronto Blue Jays,1
718395,Cleveland Guardians,2
718394,Atlanta Braves,1
718393,Chicago White Sox,2
718393,Tampa Bay Rays,1
718388,Texas Rangers,1
718389,Houston Astros,1
718389,Philadelphia Phillies,1
718386,Milwaukee Brewers,1
718390,Arizona Diamondbacks,1
718380,Cincinnati Reds,1
718380,Oakland Athletics,2
718382,Los Angeles Dodgers,2
718401,Baltimore Orioles,1
718401,Detroit Tigers,1
718399,Pittsburgh Pirates,2
718399,Washington Nationals,1
718381,Baltimore Orioles,2
718381,Detroit Tigers,1
718401,Baltimore Orioles,1
718401,Detroit Tigers,1
718383,Pittsburgh Pirates,2
718399,Pittsburgh Pirates,2
718399,Washington Nationals,1
718378,Minnesota Twins,1
718375,Chicago Cubs,2
718377,Cincinnati Reds,1
718385,Boston Red Sox,1
718385,Cleveland Guardians,2
718372,Houston Astros,1
718372,Philadelphia Phillies,2
718384,San Diego Padres,6
718384,San Francisco Giants,5
718374,Texas Rangers,1
718373,Tampa Bay Rays,5
718376,Los Angeles Angels,2
718366,Arizona Diamondbacks,2
718364,Chicago Cubs,1
718370,Boston Red Sox,2
718363,Seattle Mariners,4
718363,Toronto Blue Jays,1
718360,Baltimore Orioles,2
718360,Detroit Tigers,1
718362,Minnesota Twins,1
718355,Chicago White Sox,2
718355,Tampa Bay Rays,4
718365,Los Angeles Angels,2
718356,Texas Rangers,4
718358,Arizona Diamondbacks,1
718358,Colorado Rockies,1
718368,San Diego Padres,1
718368,San Francisco Giants,3
718357,Cincinnati Reds,1
718357,Oakland Athletics,2
718354,Houston Astros,1
718354,Philadelphia Phillies,2
718361,New York Mets,1
718352,Atlanta Braves,4
718352,New York Mets,3
718361,New York Mets,1
718349,Chicago Cubs,2
718349,Washington Nationals,1
718351,New York Yankees,1
718353,Boston Red Sox,3
718353,Toronto Blue Jays,1
718350,San Francisco Giants,2
718345,Cincinnati Reds,1
718345,San Diego Padres,1
718343,Los Angeles Dodgers,4
718343,Philadelphia Phillies,1
718347,Tampa Bay Rays,1
718346,Atlanta Braves,1
718344,Chicago Cubs,1
718339,New York Yankees,2
718341,Boston Red Sox,4
718341,Toronto Blue Jays,1
718340,Chicago White Sox,1
718340,Minnesota Twins,1
718336,Baltimore Orioles,2
718336,Kansas City Royals,4
718338,Los Angeles Angels,1
718342,Arizona Diamondbacks,2
718342,Texas Rangers,1
718334,Colorado Rockies,2
718332,Seattle Mariners,1
718331,Los Angeles Dodgers,1
718331,Philadelphia Phillies,1
718348,Detroit Tigers,2
718348,New York Mets,3
718348,Detroit Tigers,2
718348,New York Mets,3
718329,Detroit Tigers,2
718325,Arizona Diamondbacks,4
718325,Texas Rangers,4
718326,Houston Astros,1
718326,San Francisco Giants,1
718330,Cincinnati Reds,1
718330,San Diego Padres,1
718327,Los Angeles Dodgers,2
