game_pk,date,away_team,home_team,first_score
718673,2023-04-07,Washington Nationals,Colorado Rockies,Washington Nationals
718670,2023-04-07,Toronto Blue Jays,Los Angeles Angels,Los Angeles Angels
718671,2023-04-07,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers
718666,2023-04-08,Houston Astros,Minnesota Twins,Minnesota Twins
718672,2023-04-08,Kansas City Royals,San Francisco Giants,San Francisco Giants
718669,2023-04-08,Texas Rangers,Chicago Cubs,Chicago Cubs
718668,2023-04-08,Cincinnati Reds,Philadelphia Phillies,Cincinnati Reds
718667,2023-04-08,Boston Red Sox,Detroit Tigers,Boston Red Sox
718665,2023-04-08,Oakland Athletics,Tampa Bay Rays,Tampa Bay Rays
718661,2023-04-08,Miami Marlins,New York Mets,New York Mets
718663,2023-04-08,Seattle Mariners,Cleveland Guardians,Seattle Mariners
718662,2023-04-08,Chicago White Sox,Pittsburgh Pirates,Pittsburgh Pirates
718664,2023-04-08,New York Yankees,Baltimore Orioles,Baltimore Orioles
718660,2023-04-08,St. Louis Cardinals,Milwaukee Brewers,St. Louis Cardinals
718659,2023-04-08,San Diego Padres,Atlanta Braves,San Diego Padres
718656,2023-04-08,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers
718658,2023-04-08,Washington Nationals,Colorado Rockies,Washington Nationals
718657,2023-04-08,Toronto Blue Jays,Los Angeles Angels,Toronto Blue Jays
718652,2023-04-09,Cincinnati Reds,Philadelphia Phillies,Philadelphia Phillies
718654,2023-04-09,Boston Red Sox,Detroit Tigers,Detroit Tigers
718655,2023-04-09,Oakland Athletics,Tampa Bay Rays,Tampa Bay Rays
718653,2023-04-09,Chicago White Sox,Pittsburgh Pirates,Pittsburgh Pirates
718651,2023-04-09,New York Yankees,Baltimore Orioles,New York Yankees
718646,2023-04-09,Seattle Mariners,Cleveland Guardians,Seattle Mariners
718647,2023-04-09,Miami Marlins,New York Mets,Miami Marlins
718649,2023-04-09,Houston Astros,Minnesota Twins,Houston Astros
718650,2023-04-09,St. Louis Cardinals,Milwaukee Brewers,Milwaukee Brewers
718642,2023-04-09,Texas Rangers,Chicago Cubs,Texas Rangers
718645,2023-04-09,Washington Nationals,Colorado Rockies,Washington Nationals
718643,2023-04-09,Kansas City Royals,San Francisco Giants,Kansas City Royals
718644,2023-04-09,Toronto Blue Jays,Los Angeles Angels,Los Angeles Angels
718639,2023-04-09,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers
718648,2023-04-09,San Diego Padres,Atlanta Braves,San Diego Padres
718640,2023-04-10,Chicago White Sox,Minnesota Twins,Minnesota Twins
718637,2023-04-10,New York Yankees,Cleveland Guardians,New York Yankees
718635,2023-04-10,Oakland Athletics,Baltimore Orioles,Oakland Athletics
718632,2023-04-10,Houston Astros,Pittsburgh Pirates,Houston Astros
718638,2023-04-10,Boston Red Sox,Tampa Bay Rays,Tampa Bay Rays
718633,2023-04-10,Miami Marlins,Philadelphia Phillies,Philadelphia Phillies
718634,2023-04-10,San Diego Padres,New York Mets,New York Mets
718636,2023-04-10,Cincinnati Reds,Atlanta Braves,Atlanta Braves
718628,2023-04-10,Seattle Mariners,Chicago Cubs,Seattle Mariners
718630,2023-04-10,Kansas City Royals,Texas Rangers,Kansas City Royals
718629,2023-04-10,St. Louis Cardinals,Colorado Rockies,Colorado Rockies
718631,2023-04-10,Washington Nationals,Los Angeles Angels,Los Angeles Angels
718627,2023-04-10,Milwaukee Brewers,Arizona Diamondbacks,Arizona Diamondbacks
718641,2023-04-10,Los Angeles Dodgers,San Francisco Giants,Los Angeles Dodgers
718626,2023-04-11,New York Yankees,Cleveland Guardians,Cleveland Guardians
718618,2023-04-11,Oakland Athletics,Baltimore Orioles,Oakland Athletics
718623,2023-04-11,Houston Astros,Pittsburgh Pirates,Houston Astros
718625,2023-04-11,Boston Red Sox,Tampa Bay Rays,Tampa Bay Rays
718619,2023-04-11,Miami Marlins,Philadelphia Phillies,Miami Marlins
718622,2023-04-11,Detroit Tigers,Toronto Blue Jays,Detroit Tigers
718621,2023-04-11,San Diego Padres,New York Mets,New York Mets
718620,2023-04-11,Cincinnati Reds,Atlanta Braves,Atlanta Braves
718617,2023-04-11,Seattle Mariners,Chicago Cubs,Seattle Mariners
718616,2023-04-11,Chicago White Sox,Minnesota Twins,Chicago White Sox
718615,2023-04-11,Kansas City Royals,Texas Rangers,Texas Rangers
718613,2023-04-11,St. Louis Cardinals,Colorado Rockies,St. Louis Cardinals
718614,2023-04-11,Washington Nationals,Los Angeles Angels,Los Angeles Angels
718611,2023-04-11,Milwaukee Brewers,Arizona Diamondbacks,Milwaukee Brewers
718624,2023-04-11,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants
718608,2023-04-12,Houston Astros,Pittsburgh Pirates,Houston Astros
718610,2023-04-12,San Diego Padres,New York Mets,San Diego Padres
718605,2023-04-12,Chicago White Sox,Minnesota Twins,Minnesota Twins
718604,2023-04-12,New York Yankees,Cleveland Guardians,Cleveland Guardians
718606,2023-04-12,Seattle Mariners,Chicago Cubs,Chicago Cubs
718607,2023-04-12,St. Louis Cardinals,Colorado Rockies,Colorado Rockies
718598,2023-04-12,Milwaukee Brewers,Arizona Diamondbacks,Arizona Diamondbacks
718609,2023-04-12,Miami Marlins,Philadelphia Phillies,Miami Marlins
718602,2023-04-12,Washington Nationals,Los Angeles Angels,Washington Nationals
718599,2023-04-12,Oakland Athletics,Baltimore Orioles,Oakland Athletics
718600,2023-04-12,Boston Red Sox,Tampa Bay Rays,Tampa Bay Rays
718603,2023-04-12,Detroit Tigers,Toronto Blue Jays,Detroit Tigers
718601,2023-04-12,Cincinnati Reds,Atlanta Braves,Cincinnati Reds
718595,2023-04-12,Kansas City Royals,Texas Rangers,Texas Rangers
718612,2023-04-12,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants
718596,2023-04-13,Oakland Athletics,Baltimore Orioles,Oakland Athletics
