game_pk,hitter_name,hitter_team,hrs
718671,Evan Longoria,Arizona Diamondbacks,1
718671,James Outman,Los Angeles Dodgers,1
718666,Byron Buxton,Minnesota Twins,1
718666,Jeremy Pena,Houston Astros,1
718666,Kyle Farmer,Minnesota Twins,1
718666,Yordan Alvarez,Houston Astros,1
718672,Bobby Witt Jr.,Kansas City Royals,1
718672,Franmil Reyes,Kansas City Royals,1
718672,LaMonte Wade Jr.,San Francisco Giants,1
718672,Salvador Perez,Kansas City Royals,1
718669,Patrick Wisdom,Chicago Cubs,1
718669,Yan Gomes,Chicago Cubs,1
718668,Spencer Steer,Cincinnati Reds,1
718667,Adam Duvall,Boston Red Sox,1
718667,Rafael Devers,Boston Red Sox,2
718667,Raimel Tapia,Boston Red Sox,1
718665,Brandon Lowe,Tampa Bay Rays,1
718665,Manuel Margot,Tampa Bay Rays,1
718665,Randy Arozarena,Tampa Bay Rays,1
718661,Eduardo Escobar,New York Mets,1
718661,Jazz Chisholm Jr.,Miami Marlins,1
718661,Pete Alonso,New York Mets,1
718662,Andrew McCutchen,Pittsburgh Pirates,1
718664,Giancarlo Stanton,New York Yankees,1
718660,Jordan Walker,St. Louis Cardinals,1
718660,Nolan Arenado,St. Louis Cardinals,1
718659,Juan Soto,San Diego Padres,1
718656,Geraldo Perdomo,Arizona Diamondbacks,1
718656,James Outman,Los Angeles Dodgers,1
718656,Jason Heyward,Los Angeles Dodgers,1
718656,Ketel Marte,Arizona Diamondbacks,1
718658,Mike Moustakas,Colorado Rockies,1
718658,Stone Garrett,Washington Nationals,1
718657,Bo Bichette,Toronto Blue Jays,1
718657,George Springer,Toronto Blue Jays,1
718657,Hunter Renfroe,Los Angeles Angels,1
718657,Luis Rengifo,Los Angeles Angels,1
718657,Matt Chapman,Toronto Blue Jays,1
718657,Mike Trout,Los Angeles Angels,1
718652,Alec Bohm,Philadelphia Phillies,1
718654,Triston Casas,Boston Red Sox,1
718655,Brandon Lowe,Tampa Bay Rays,1
718655,Harold Ramirez,Tampa Bay Rays,1
718655,Wander Franco,Tampa Bay Rays,1
718651,Aaron Judge,New York Yankees,2
718651,Adley Rutschman,Baltimore Orioles,1
718651,Franchy Cordero,New York Yankees,1
718646,Cal Raleigh,Seattle Mariners,1
718647,Bryan De La Cruz,Miami Marlins,1
718647,Garrett Cooper,Miami Marlins,1
718649,Chas McCormick,Houston Astros,1
718650,Christian Yelich,Milwaukee Brewers,1
718650,Willy Adames,Milwaukee Brewers,1
718642,Edwin Rios,Chicago Cubs,1
718645,Elias Diaz,Colorado Rockies,1
718645,Jurickson Profar,Colorado Rockies,1
718643,Michael Conforto,San Francisco Giants,1
718644,Brandon Drury,Los Angeles Angels,1
718644,Hunter Renfroe,Los Angeles Angels,1
718644,Logan O'Hoppe,Los Angeles Angels,1
718644,Matt Chapman,Toronto Blue Jays,1
718644,Shohei Ohtani,Los Angeles Angels,1
718648,Ha-Seong Kim,San Diego Padres,1
718648,Nelson Cruz,San Diego Padres,1
718648,Trent Grisham,San Diego Padres,1
718640,Hanser Alberto,Chicago White Sox,1
718635,Adley Rutschman,Baltimore Orioles,1
718635,Austin Hays,Baltimore Orioles,1
718635,Ryan Mountcastle,Baltimore Orioles,1
718632,Ji Man Choi,Pittsburgh Pirates,1
718638,Brandon Lowe,Tampa Bay Rays,1
718633,Alec Bohm,Philadelphia Phillies,1
718633,Brandon Marsh,Philadelphia Phillies,1
718633,Jake Cave,Philadelphia Phillies,1
718633,Yuli Gurriel,Miami Marlins,1
718636,Sean Murphy,Atlanta Braves,1
718628,Jarred Kelenic,Seattle Mariners,1
718630,Adolis Garcia,Texas Rangers,1
718630,Corey Seager,Texas Rangers,1
718630,Hunter Dozier,Kansas City Royals,1
718630,Jonah Heim,Texas Rangers,1
718631,Hunter Renfroe,Los Angeles Angels,1
718627,Christian Walker,Arizona Diamondbacks,1
718641,Max Muncy,Los Angeles Dodgers,2
718641,Mookie Betts,Los Angeles Dodgers,1
718641,Wilmer Flores,San Francisco Giants,1
718626,Franchy Cordero,New York Yankees,1
718618,Austin Hays,Baltimore Orioles,1
718618,Ryan Mountcastle,Baltimore Orioles,2
718618,Shea Langeliers,Oakland Athletics,1
718623,Alex Bregman,Houston Astros,1
718623,Jack Suwinski,Pittsburgh Pirates,1
718623,Ji Hwan Bae,Pittsburgh Pirates,1
718623,Ji Man Choi,Pittsburgh Pirates,1
718623,Kyle Tucker,Houston Astros,1
718625,Brandon Lowe,Tampa Bay Rays,1
