game_pk,team,ks
718307,Toronto Blue Jays,10
718305,Chicago White Sox,11
718305,Cincinnati Reds,12
718300,New York Yankees,5
718300,Tampa Bay Rays,5
718301,Boston Red Sox,8
718301,Philadelphia Phillies,14
718302,Colorado Rockies,7
718302,New York Mets,8
718306,Cleveland Guardians,9
718306,Minnesota Twins,8
718298,Atlanta Braves,4
718298,Baltimore Orioles,12
718299,Kansas City Royals,2
718299,Oakland Athletics,5
718292,Detroit Tigers,9
718292,St. Louis Cardinals,12
718294,Los Angeles Angels,3
718294,Texas Rangers,11
718296,Arizona Diamondbacks,8
718296,Washington Nationals,12
718295,Los Angeles Dodgers,9
718295,San Diego Padres,13
718297,Houston Astros,10
718297,Seattle Mariners,10
718293,Milwaukee Brewers,12
718293,San Francisco Giants,8
718288,Detroit Tigers,9
718288,St. Louis Cardinals,8
718289,Chicago Cubs,12
718289,Miami Marlins,7
718290,Colorado Rockies,10
718290,New York Mets,8
718291,New York Yankees,9
718291,Tampa Bay Rays,7
718285,Cleveland Guardians,11
718285,Minnesota Twins,9
718286,Pittsburgh Pirates,12
718286,Toronto Blue Jays,6
718281,Chicago White Sox,6
718281,Cincinnati Reds,8
718280,Kansas City Royals,11
718280,Oakland Athletics,12
718284,Boston Red Sox,8
718284,Philadelphia Phillies,4
718283,Atlanta Braves,5
718283,Baltimore Orioles,16
718287,Milwaukee Brewers,7
718287,San Francisco Giants,5
718282,Arizona Diamondbacks,9
718282,Washington Nationals,9
718279,Los Angeles Dodgers,8
718279,San Diego Padres,10
718275,Los Angeles Angels,4
718275,Texas Rangers,11
718274,Houston Astros,8
718274,Seattle Mariners,9
718277,Atlanta Braves,13
718277,Baltimore Orioles,9
718278,Pittsburgh Pirates,6
718278,Toronto Blue Jays,8
718270,Boston Red Sox,9
718270,Philadelphia Phillies,5
718276,Colorado Rockies,7
718276,New York Mets,8
718273,Cleveland Guardians,4
718273,Minnesota Twins,6
718271,New York Yankees,6
718271,Tampa Bay Rays,14
718268,Kansas City Royals,5
718268,Oakland Athletics,6
718272,Detroit Tigers,6
718272,St. Louis Cardinals,3
718269,Chicago Cubs,13
718269,Miami Marlins,10
718267,Milwaukee Brewers,6
718267,San Francisco Giants,14
718264,Los Angeles Angels,6
718264,Texas Rangers,9
718263,Arizona Diamondbacks,6
718263,Washington Nationals,6
718265,Houston Astros,11
718265,Seattle Mariners,6
718262,Chicago White Sox,7
718262,Cincinnati Reds,5
718266,Los Angeles Dodgers,11
718266,San Diego Padres,9
718261,Cleveland Guardians,8
718261,Detroit Tigers,8
718258,Colorado Rockies,8
718258,Pittsburgh Pirates,3
718259,Baltimore Orioles,13
718259,Tampa Bay Rays,7
718255,New York Yankees,7
718255,Oakland Athletics,8
718256,Chicago Cubs,10
718256,St. Louis Cardinals,9
718253,Chicago White Sox,4
718253,Kansas City Royals,9
718257,Los Angeles Dodgers,7
718257,Milwaukee Brewers,6
718254,Houston Astros,4
718254,Los Angeles Angels,6
718251,Seattle Mariners,13
718251,Texas Rangers,13
718249,Arizona Diamondbacks,8
718249,Miami Marlins,8
718260,San Francisco Giants,6
718260,Washington Nationals,4
718248,Cleveland Guardians,4
718248,Detroit Tigers,12
718252,Colorado Rockies,4
718252,Pittsburgh Pirates,11
718246,Baltimore Orioles,4
718246,Tampa Bay Rays,7
718243,Cincinnati Reds,8
718243,New York Mets,5
718244,Philadelphia Phillies,6
718244,Toronto Blue Jays,10
718247,New York Yankees,2
718247,Oakland Athletics,13
718245,Atlanta Braves,6
718245,Boston Red Sox,12
718240,Chicago Cubs,5
718240,St. Louis Cardinals,7
718242,Minnesota Twins,9
718242,San Diego Padres,9
718238,Chicago White Sox,6
718238,Kansas City Royals,11
718241,Los Angeles Dodgers,7
718241,Milwaukee Brewers,8
718237,Houston Astros,7
718237,Los Angeles Angels,14
718239,Seattle Mariners,9
718239,Texas Rangers,11
718236,Arizona Diamondbacks,7
718236,Miami Marlins,4
718250,San Francisco Giants,5
718250,Washington Nationals,9
718231,Colorado Rockies,11
718231,Pittsburgh Pirates,13
718232,New York Yankees,10
718232,Oakland Athletics,6
718234,Cleveland Guardians,10
718234,Detroit Tigers,6
718228,Los Angeles Dodgers,6
718228,Milwaukee Brewers,11
718229,Seattle Mariners,11
718229,Texas Rangers,15
718226,Arizona Diamondbacks,15
718226,Miami Marlins,10
718230,San Francisco Giants,4
718230,Washington Nationals,8
718233,Philadelphia Phillies,13
718233,Toronto Blue Jays,12
718235,Houston Astros,10
718235,Los Angeles Angels,14
718227,Baltimore Orioles,3
718227,Tampa Bay Rays,8
718225,Cincinnati Reds,10
718225,New York Mets,8
718220,Atlanta Braves,10
718220,Boston Red Sox,12
718221,Chicago Cubs,3
718221,St. Louis Cardinals,5
718224,Minnesota Twins,8
718224,San Diego Padres,11
718222,Chicago White Sox,11
718222,Kansas City Royals,6
718223,Cincinnati Reds,9
718223,New York Mets,9
718216,Minnesota Twins,9
718216,San Diego Padres,10
718218,Chicago White Sox,5
718218,Kansas City Royals,5
718219,New York Yankees,9
718219,Tampa Bay Rays,4
718215,Arizona Diamondbacks,6
718215,San Francisco Giants,3
718217,Oakland Athletics,13
718217,Texas Rangers,7
718208,Detroit Tigers,4
718208,Seattle Mariners,4
718212,Cincinnati Reds,14
718212,Miami Marlins,9
718214,New York Mets,5
718214,Washington Nationals,10
718213,Baltimore Orioles,4
718213,Pittsburgh Pirates,12
718210,New York Yankees,4
718210,Tampa Bay Rays,10
718206,Atlanta Braves,8
718206,Toronto Blue Jays,14
718205,Cleveland Guardians,3
718205,Los Angeles Angels,9
718211,Boston Red Sox,8
718211,St. Louis Cardinals,10
718209,Chicago Cubs,12
718209,Minnesota Twins,5
718207,Chicago White Sox,7
718207,Houston Astros,6
718204,Kansas City Royals,10
718204,Milwaukee Brewers,9
718202,Colorado Rockies,7
718202,Philadelphia Phillies,11
718199,Arizona Diamondbacks,7
718199,San Francisco Giants,7
718200,Oakland Athletics,7
718200,Texas Rangers,11
718201,Los Angeles Dodgers,6
718201,San Diego Padres,7
718197,New York Yankees,7
718197,Tampa Bay Rays,9
718194,Detroit Tigers,6
718194,Seattle Mariners,13
718198,Cincinnati Reds,11
718198,Miami Marlins,8
718195,Chicago Cubs,14
718195,Minnesota Twins,9
718192,Atlanta Braves,6
718192,Toronto Blue Jays,7
718203,New York Mets,7
718203,Washington Nationals,3
718190,Oakland Athletics,5
718190,Texas Rangers,9
718196,Boston Red Sox,6
718196,St. Louis Cardinals,9
718191,Cleveland Guardians,7
718191,Los Angeles Angels,6
718193,Baltimore Orioles,2
718193,Pittsburgh Pirates,11
718183,Kansas City Royals,9
718183,Milwaukee Brewers,11
718185,Los Angeles Dodgers,7
718185,San Diego Padres,6
718189,Chicago White Sox,5
718189,Houston Astros,10
718184,Arizona Diamondbacks,4
718184,San Francisco Giants,5
718188,Colorado Rockies,10
718188,Philadelphia Phillies,6
718182,Cleveland Guardians,5
718182,Los Angeles Angels,8
718203,New York Mets,7
718203,Washington Nationals,3
718179,Baltimore Orioles,17
718179,Pittsburgh Pirates,9
718180,New York Yankees,10
718180,Tampa Bay Rays,10
718181,Atlanta Braves,12
718181,Toronto Blue Jays,6
718173,Detroit Tigers,5
718173,Seattle Mariners,8
718178,Cincinnati Reds,11
718178,Miami Marlins,9
718175,Chicago Cubs,9
718175,Minnesota Twins,8
718176,Chicago White Sox,13
718176,Houston Astros,8
718177,Kansas City Royals,9
718177,Milwaukee Brewers,11
718174,Colorado Rockies,5
718174,Philadelphia Phillies,11
718172,Oakland Athletics,13
718172,Texas Rangers,8
718168,Los Angeles Dodgers,4
718168,San Diego Padres,10
718169,Arizona Diamondbacks,3
718169,San Francisco Giants,12
718186,New York Mets,9
718186,Washington Nationals,11
718187,Boston Red Sox,7
718187,St. Louis Cardinals,8
718167,New York Mets,2
718167,Washington Nationals,7
718171,Baltimore Orioles,7
718171,Los Angeles Angels,8
718164,New York Yankees,10
718164,Toronto Blue Jays,2
718163,Boston Red Sox,8
718163,Seattle Mariners,10
718166,Milwaukee Brewers,11
718166,St. Louis Cardinals,7
718165,Atlanta Braves,7
718165,Texas Rangers,12
718158,Chicago Cubs,16
718158,Houston Astros,6
718161,Cincinnati Reds,9
718161,Colorado Rockies,11
718160,Arizona Diamondbacks,6
718160,Oakland Athletics,9
718162,Kansas City Royals,13
718162,San Diego Padres,6
718170,Philadelphia Phillies,9
718170,San Francisco Giants,8
718159,Los Angeles Dodgers,12
718159,Minnesota Twins,15
718154,Baltimore Orioles,12
718154,Los Angeles Angels,8
718155,Detroit Tigers,7
718155,Pittsburgh Pirates,12
718153,Miami Marlins,7
718153,Washington Nationals,12
718157,New York Yankees,11
718157,Toronto Blue Jays,6
718149,Boston Red Sox,7
718149,Seattle Mariners,8
718150,New York Mets,7
718150,Tampa Bay Rays,6
718151,Milwaukee Brewers,12
718151,St. Louis Cardinals,9
718148,Atlanta Braves,6
718148,Texas Rangers,5
718152,Chicago Cubs,10
718152,Houston Astros,10
718147,Chicago White Sox,8
718147,Cleveland Guardians,9
718145,Cincinnati Reds,7
718145,Colorado Rockies,11
718146,Arizona Diamondbacks,13
718146,Oakland Athletics,16
718144,Kansas City Royals,10
718144,San Diego Padres,9
718156,Philadelphia Phillies,9
718156,San Francisco Giants,11
718141,Los Angeles Dodgers,9
718141,Minnesota Twins,12
718142,Detroit Tigers,14
718142,Pittsburgh Pirates,9
718138,Cincinnati Reds,4
718138,Colorado Rockies,4
718136,Los Angeles Dodgers,8
718136,Minnesota Twins,11
718139,Arizona Diamondbacks,11
718139,Oakland Athletics,10
718143,Philadelphia Phillies,10
718143,San Francisco Giants,8
718140,Kansas City Royals,10
718140,San Diego Padres,13
718137,Baltimore Orioles,5
718137,Los Angeles Angels,9
718132,Miami Marlins,10
718132,Washington Nationals,9
718134,New York Yankees,11
718134,Toronto Blue Jays,7
718133,Boston Red Sox,5
718133,Seattle Mariners,9
718135,New York Mets,9
718135,Tampa Bay Rays,17
718131,Milwaukee Brewers,11
718131,St. Louis Cardinals,9
718126,Atlanta Braves,8
718126,Texas Rangers,11
718127,Chicago Cubs,9
718127,Houston Astros,12
718129,Chicago White Sox,6
718129,Cleveland Guardians,8
718128,Baltimore Orioles,5
718128,Los Angeles Angels,13
718122,New York Mets,6
718122,Tampa Bay Rays,7
718130,Miami Marlins,6
718130,Washington Nationals,7
718125,Chicago White Sox,8
718125,Cleveland Guardians,3
718121,New York Yankees,10
718121,Toronto Blue Jays,8
718124,Los Angeles Dodgers,3
718124,St. Louis Cardinals,5
718118,Arizona Diamondbacks,11
718118,Pittsburgh Pirates,5
718120,Cincinnati Reds,12
718120,New York Yankees,10
718117,Milwaukee Brewers,10
718117,Tampa Bay Rays,7
718123,Detroit Tigers,4
718123,Washington Nationals,8
718116,Chicago Cubs,13
718116,Philadelphia Phillies,7
718115,Baltimore Orioles,8
718115,Toronto Blue Jays,8
718119,Cleveland Guardians,4
718119,New York Mets,12
718110,Atlanta Braves,6
718110,Seattle Mariners,8
718114,Colorado Rockies,7
718114,Texas Rangers,6
718112,Houston Astros,5
718112,Oakland Athletics,10
718111,Chicago White Sox,7
718111,Kansas City Royals,10
718113,Los Angeles Dodgers,11
718113,St. Louis Cardinals,7
718106,Los Angeles Angels,11
718106,Minnesota Twins,16
718107,Boston Red Sox,8
718107,San Diego Padres,7
718105,Miami Marlins,10
718105,San Francisco Giants,8
718104,Chicago White Sox,9
718104,Kansas City Royals,7
718102,Baltimore Orioles,9
718102,Toronto Blue Jays,14
718108,Detroit Tigers,6
718108,Washington Nationals,5
718101,Arizona Diamondbacks,12
718101,Pittsburgh Pirates,7
718100,Colorado Rockies,8
718100,Texas Rangers,3
718097,Chicago Cubs,13
718097,Philadelphia Phillies,8
718103,Miami Marlins,11
718103,San Francisco Giants,10
718098,Houston Astros,8
718098,Oakland Athletics,11
718095,Cincinnati Reds,14
718095,New York Yankees,9
718093,Milwaukee Brewers,11
718093,Tampa Bay Rays,6
718109,Los Angeles Dodgers,5
718109,St. Louis Cardinals,7
718094,Atlanta Braves,13
718094,Seattle Mariners,14
718096,Los Angeles Angels,10
718096,Minnesota Twins,7
718092,Boston Red Sox,8
718092,San Diego Padres,8
718099,Cleveland Guardians,5
718099,New York Mets,7
718085,Cincinnati Reds,8
718085,New York Yankees,11
718089,Detroit Tigers,7
718089,Washington Nationals,7
718091,Arizona Diamondbacks,5
718091,Pittsburgh Pirates,7
718088,Chicago Cubs,9
718088,Philadelphia Phillies,9
718090,Atlanta Braves,7
718090,Seattle Mariners,12
718087,Baltimore Orioles,7
718087,Toronto Blue Jays,11
718099,Cleveland Guardians,5
718099,New York Mets,7
718082,Cleveland Guardians,5
718082,New York Mets,4
718081,Milwaukee Brewers,6
718081,Tampa Bay Rays,5
718086,Houston Astros,7
718086,Oakland Athletics,7
718084,Chicago White Sox,5
718084,Kansas City Royals,10
718083,Los Angeles Dodgers,11
718083,St. Louis Cardinals,11
718076,Colorado Rockies,9
718076,Texas Rangers,8
718078,Miami Marlins,7
718078,San Francisco Giants,10
718080,Los Angeles Angels,10
718080,Minnesota Twins,13
718079,Boston Red Sox,9
718079,San Diego Padres,7
718072,Chicago White Sox,9
718072,Cleveland Guardians,2
718075,Pittsburgh Pirates,8
718075,Texas Rangers,7
718071,Cincinnati Reds,13
718071,St. Louis Cardinals,14
718077,Tampa Bay Rays,9
718077,Toronto Blue Jays,2
718073,Arizona Diamondbacks,6
718073,Philadelphia Phillies,12
718074,Atlanta Braves,6
718074,Los Angeles Dodgers,10
718066,Detroit Tigers,12
718066,Kansas City Royals,9
718067,Minnesota Twins,16
718067,San Francisco Giants,10
718068,Houston Astros,7
718068,Milwaukee Brewers,9
718069,Colorado Rockies,9
718069,Miami Marlins,4
718070,Boston Red Sox,9
718070,Los Angeles Angels,11
718062,Oakland Athletics,11
718062,Seattle Mariners,8
718063,Chicago White Sox,10
718063,Cleveland Guardians,5
718065,Pittsburgh Pirates,5
718065,Texas Rangers,12
718059,Cincinnati Reds,4
718059,St. Louis Cardinals,8
718061,Tampa Bay Rays,5
718061,Toronto Blue Jays,9
718060,Arizona Diamondbacks,11
718060,Philadelphia Phillies,4
718064,San Diego Padres,10
718064,Washington Nationals,7
718058,Baltimore Orioles,8
718058,New York Yankees,9
718057,Atlanta Braves,11
718057,Los Angeles Dodgers,11
718049,Detroit Tigers,12
718049,Kansas City Royals,10
718055,Chicago Cubs,12
718055,New York Mets,10
718054,Minnesota Twins,11
718054,San Francisco Giants,12
718056,Houston Astros,9
718056,Milwaukee Brewers,12
718051,Colorado Rockies,6
718051,Miami Marlins,6
718053,Boston Red Sox,7
718053,Los Angeles Angels,8
718050,Oakland Athletics,9
718050,Seattle Mariners,4
718045,Pittsburgh Pirates,5
718045,Texas Rangers,9
718043,Arizona Diamondbacks,10
718043,Philadelphia Phillies,8
718047,Minnesota Twins,11
718047,San Francisco Giants,14
718048,Chicago White Sox,8
718048,Cleveland Guardians,12
718046,Houston Astros,6
718046,Milwaukee Brewers,5
718041,Cincinnati Reds,6
718041,St. Louis Cardinals,9
718044,Tampa Bay Rays,9
718044,Toronto Blue Jays,8
718052,San Diego Padres,9
718052,Washington Nationals,6
718040,Baltimore Orioles,8
718040,New York Yankees,13
718042,Atlanta Braves,6
718042,Los Angeles Dodgers,8
718039,Detroit Tigers,9
718039,Kansas City Royals,11
718038,Chicago Cubs,10
718038,New York Mets,4
718036,Colorado Rockies,8
718036,Miami Marlins,6
718034,Boston Red Sox,3
718034,Los Angeles Angels,8
718037,Oakland Athletics,9
718037,Seattle Mariners,13
718030,Cincinnati Reds,8
718030,St. Louis Cardinals,9
718032,Tampa Bay Rays,10
718032,Toronto Blue Jays,1
718033,Colorado Rockies,8
718033,Miami Marlins,9
718035,San Diego Padres,9
718035,Washington Nationals,9
718031,Chicago White Sox,13
718031,Detroit Tigers,10
718029,Baltimore Orioles,7
718029,New York Yankees,6
718026,Atlanta Braves,10
718026,Philadelphia Phillies,8
718024,Chicago Cubs,6
718024,New York Mets,10
718028,Milwaukee Brewers,13
718028,San Francisco Giants,11
718025,Oakland Athletics,8
718025,Seattle Mariners,4
718027,Chicago Cubs,12
718027,Cincinnati Reds,11
718018,Los Angeles Dodgers,10
718018,Tampa Bay Rays,3
718021,Chicago White Sox,5
718021,Detroit Tigers,7
718020,Baltimore Orioles,11
718020,Texas Rangers,7
718023,New York Yankees,11
718023,San Diego Padres,10
718022,Cleveland Guardians,5
718022,St. Louis Cardinals,4
718019,Atlanta Braves,2
718019,Philadelphia Phillies,5
718014,Kansas City Royals,9
718014,Washington Nationals,6
718013,Minnesota Twins,12
718013,Toronto Blue Jays,6
718017,Milwaukee Brewers,7
718017,San Francisco Giants,13
718016,Colorado Rockies,10
718016,New York Mets,4
718015,Los Angeles Angels,10
718015,Miami Marlins,12
718010,Arizona Diamondbacks,5
718010,Boston Red Sox,11
718009,Houston Astros,8
718009,Oakland Athletics,15
718012,Pittsburgh Pirates,6
718012,Seattle Mariners,11
718006,New York Yankees,5
718006,San Diego Padres,8
718005,Chicago White Sox,7
718005,Detroit Tigers,3
718008,Minnesota Twins,11
718008,Toronto Blue Jays,10
718001,Baltimore Orioles,4
718001,Texas Rangers,5
718003,Houston Astros,8
718003,Oakland Athletics,8
718000,Kansas City Royals,10
718000,Washington Nationals,9
718004,Pittsburgh Pirates,17
718004,Seattle Mariners,9
718002,Los Angeles Dodgers,14
718002,Tampa Bay Rays,9
717997,Atlanta Braves,14
717997,Philadelphia Phillies,15
717999,Milwaukee Brewers,12
717999,San Francisco Giants,12
717991,Arizona Diamondbacks,8
717991,Boston Red Sox,10
718007,Chicago Cubs,6
718007,Cincinnati Reds,12
717996,Cleveland Guardians,6
717996,St. Louis Cardinals,12
718011,Colorado Rockies,4
718011,New York Mets,8
717998,Los Angeles Angels,8
717998,Miami Marlins,17
717994,Los Angeles Dodgers,9
717994,Tampa Bay Rays,12
717990,Baltimore Orioles,8
717990,Texas Rangers,8
717995,New York Yankees,8
717995,San Diego Padres,11
717993,Cleveland Guardians,6
717993,St. Louis Cardinals,3
717989,Chicago White Sox,10
717989,Detroit Tigers,11
717985,Kansas City Royals,13
717985,Washington Nationals,10
717988,Minnesota Twins,14
717988,Toronto Blue Jays,9
717986,Milwaukee Brewers,10
717986,San Francisco Giants,11
717987,Chicago Cubs,11
717987,Cincinnati Reds,5
717982,Colorado Rockies,9
717982,New York Mets,5
717980,Houston Astros,8
717980,Oakland Athletics,7
717984,Los Angeles Angels,9
717984,Miami Marlins,7
717981,Arizona Diamondbacks,8
717981,Boston Red Sox,15
717983,Pittsburgh Pirates,12
717983,Seattle Mariners,11
717992,Atlanta Braves,4
717992,Philadelphia Phillies,10
717974,Baltimore Orioles,13
717974,Cleveland Guardians,9
717979,Detroit Tigers,5
717979,Texas Rangers,8
717975,Kansas City Royals,12
717975,St. Louis Cardinals,7
717976,Chicago Cubs,11
717976,Tampa Bay Rays,8
717977,Arizona Diamondbacks,3
717977,Colorado Rockies,8
717968,Houston Astros,8
717968,Minnesota Twins,15
717978,Pittsburgh Pirates,3
717978,San Francisco Giants,3
717970,Atlanta Braves,11
717970,Oakland Athletics,7
717971,Chicago White Sox,11
717971,Los Angeles Angels,16
717973,Los Angeles Dodgers,5
717973,Washington Nationals,4
717969,New York Yankees,6
717969,Seattle Mariners,9
717964,Detroit Tigers,12
717964,Texas Rangers,6
717963,Miami Marlins,7
717963,San Diego Padres,8
717967,Baltimore Orioles,7
717967,Cleveland Guardians,5
717965,Milwaukee Brewers,8
717965,Toronto Blue Jays,4
717966,Boston Red Sox,8
717966,Cincinnati Reds,9
717962,New York Mets,6
717962,Philadelphia Phillies,11
717960,Kansas City Royals,11
717960,St. Louis Cardinals,9
717961,Chicago Cubs,10
717961,Tampa Bay Rays,7
717956,Houston Astros,10
717956,Minnesota Twins,12
717959,Chicago White Sox,5
717959,Los Angeles Angels,13
717955,Arizona Diamondbacks,1
717955,Colorado Rockies,12
717958,Atlanta Braves,5
717958,Oakland Athletics,8
717952,New York Yankees,12
717952,Seattle Mariners,10
717972,Pittsburgh Pirates,11
717972,San Francisco Giants,9
717957,Los Angeles Dodgers,3
717957,Washington Nationals,4
717951,Detroit Tigers,9
717951,Texas Rangers,9
717943,Chicago White Sox,9
717943,Los Angeles Angels,5
717950,Chicago Cubs,10
717950,Tampa Bay Rays,8
717946,Baltimore Orioles,7
717946,Cleveland Guardians,12
717949,Atlanta Braves,8
717949,Oakland Athletics,3
717953,Pittsburgh Pirates,12
717953,San Francisco Giants,11
717954,Los Angeles Dodgers,9
717954,Washington Nationals,7
717945,Miami Marlins,8
717945,San Diego Padres,13
717947,Milwaukee Brewers,7
717948,Boston Red Sox,7
717948,Cincinnati Reds,13
717944,New York Mets,6
717944,Philadelphia Phillies,10
717938,Houston Astros,9
717938,Minnesota Twins,14
717940,Arizona Diamondbacks,8
717940,Colorado Rockies,9
717939,New York Yankees,9
717939,Seattle Mariners,13
717942,Milwaukee Brewers,13
717942,Toronto Blue Jays,5
717934,New York Mets,3
717934,Philadelphia Phillies,12
717941,Miami Marlins,5
717941,San Diego Padres,11
717933,Arizona Diamondbacks,9
717933,Colorado Rockies,9
717932,Boston Red Sox,8
717932,Cincinnati Reds,11
717937,Cleveland Guardians,6
717937,Minnesota Twins,8
717936,Houston Astros,6
717936,Los Angeles Angels,9
717931,Cincinnati Reds,13
717931,Milwaukee Brewers,11
717927,Miami Marlins,8
717927,Oakland Athletics,15
717930,Pittsburgh Pirates,9
717930,St. Louis Cardinals,9
717935,Philadelphia Phillies,8
717935,Washington Nationals,6
717929,New York Mets,10
717929,Toronto Blue Jays,10
717922,Seattle Mariners,7
717922,Texas Rangers,7
717926,Houston Astros,8
717926,Los Angeles Angels,8
717923,Colorado Rockies,12
717923,Kansas City Royals,5
717924,Cleveland Guardians,6
717924,Minnesota Twins,7
717925,Chicago White Sox,7
717925,Detroit Tigers,9
717921,Chicago Cubs,13
717921,San Diego Padres,10
717919,Arizona Diamondbacks,11
717919,Atlanta Braves,10
717917,Los Angeles Dodgers,4
717917,New York Yankees,11
717920,Baltimore Orioles,8
717920,San Francisco Giants,12
717928,Boston Red Sox,8
717928,Tampa Bay Rays,8
717918,Boston Red Sox,7
717918,Tampa Bay Rays,12
717885,Boston Red Sox,10
717885,Tampa Bay Rays,11
717915,Chicago White Sox,10
717915,Detroit Tigers,11
717907,Pittsburgh Pirates,10
717907,St. Louis Cardinals,6
717912,Seattle Mariners,14
717912,Texas Rangers,10
717914,Philadelphia Phillies,7
717914,Washington Nationals,4
717908,Houston Astros,6
717908,Los Angeles Angels,8
717909,Colorado Rockies,10
717909,Kansas City Royals,10
717910,New York Mets,11
717910,Toronto Blue Jays,9
717911,Miami Marlins,4
717911,Oakland Athletics,11
717906,Cincinnati Reds,8
717906,Milwaukee Brewers,3
717913,Cleveland Guardians,5
717913,Minnesota Twins,8
717905,Los Angeles Dodgers,8
717905,New York Yankees,12
717916,Baltimore Orioles,8
717916,San Francisco Giants,11
717903,Chicago Cubs,12
717903,San Diego Padres,7
717901,Arizona Diamondbacks,10
717901,Atlanta Braves,2
717898,Pittsburgh Pirates,5
717898,St. Louis Cardinals,8
717904,Boston Red Sox,10
717904,Tampa Bay Rays,10
717902,Philadelphia Phillies,9
717902,Washington Nationals,7
717900,New York Mets,11
717900,Toronto Blue Jays,10
717896,Miami Marlins,6
717896,Oakland Athletics,9
717897,Cincinnati Reds,3
717897,Milwaukee Brewers,8
717899,Houston Astros,6
717899,Los Angeles Angels,5
717893,Colorado Rockies,14
717893,Kansas City Royals,2
717895,Cleveland Guardians,5
717895,Minnesota Twins,16
717891,Chicago White Sox,14
717891,Detroit Tigers,12
717894,Seattle Mariners,11
717894,Texas Rangers,8
717890,Baltimore Orioles,9
717890,San Francisco Giants,11
717892,Arizona Diamondbacks,8
717892,Atlanta Braves,10
717889,Chicago Cubs,8
717889,San Diego Padres,9
717888,Los Angeles Dodgers,8
717888,New York Yankees,10
717928,Boston Red Sox,8
717928,Tampa Bay Rays,8
717886,Detroit Tigers,13
717886,Philadelphia Phillies,8
717887,Kansas City Royals,11
717887,Miami Marlins,5
717884,Oakland Athletics,7
717884,Pittsburgh Pirates,10
717878,Houston Astros,10
717878,Toronto Blue Jays,5
717883,Cincinnati Reds,8
717883,Milwaukee Brewers,9
717879,St. Louis Cardinals,6
717879,Texas Rangers,8
717880,Chicago Cubs,12
717880,San Diego Padres,4
717882,Minnesota Twins,12
717882,Tampa Bay Rays,7
717875,Detroit Tigers,13
717875,Philadelphia Phillies,9
717876,Kansas City Royals,11
717876,Miami Marlins,8
717881,Arizona Diamondbacks,4
717881,Washington Nationals,5
717874,Oakland Athletics,4
717874,Pittsburgh Pirates,4
717877,Chicago White Sox,5
717877,New York Yankees,10
717871,Houston Astros,16
717871,Toronto Blue Jays,6
717873,Boston Red Sox,5
717873,Cleveland Guardians,12
717870,Cincinnati Reds,6
717870,Los Angeles Dodgers,10
717872,Atlanta Braves,6
717872,New York Mets,10
717867,Baltimore Orioles,16
717867,Milwaukee Brewers,16
717868,St. Louis Cardinals,6
717868,Texas Rangers,4
717869,Colorado Rockies,8
717869,San Francisco Giants,16
717861,Chicago Cubs,11
717861,Los Angeles Angels,10
717864,San Diego Padres,10
717864,Seattle Mariners,11
717865,Oakland Athletics,6
717865,Pittsburgh Pirates,5
717863,San Diego Padres,8
717863,Seattle Mariners,8
717860,Kansas City Royals,10
717860,Miami Marlins,3
717859,Minnesota Twins,9
717859,Tampa Bay Rays,9
717866,Arizona Diamondbacks,5
717866,Washington Nationals,11
717856,Houston Astros,6
717856,Toronto Blue Jays,6
717858,Boston Red Sox,8
717858,Cleveland Guardians,7
717853,Cincinnati Reds,10
717853,Los Angeles Dodgers,7
717850,Atlanta Braves,11
717850,New York Mets,7
717851,Baltimore Orioles,8
717851,Milwaukee Brewers,9
717854,St. Louis Cardinals,12
717854,Texas Rangers,12
717852,Colorado Rockies,7
717852,San Francisco Giants,7
717855,Chicago Cubs,7
717855,Los Angeles Angels,10
717862,Detroit Tigers,9
717862,Philadelphia Phillies,9
717857,Chicago White Sox,7
717857,New York Yankees,5
717844,Cincinnati Reds,11
717844,Los Angeles Dodgers,4
717845,Minnesota Twins,7
717845,Tampa Bay Rays,10
717849,Baltimore Orioles,12
717849,Milwaukee Brewers,14
717846,Colorado Rockies,10
717846,San Francisco Giants,10
717848,Chicago White Sox,10
717848,New York Yankees,6
717857,Chicago White Sox,7
717857,New York Yankees,5
717862,Detroit Tigers,9
717862,Philadelphia Phillies,9
717843,Houston Astros,5
717843,Toronto Blue Jays,10
717842,Boston Red Sox,7
717842,Cleveland Guardians,2
717840,Atlanta Braves,6
717840,New York Mets,16
717838,Chicago Cubs,12
717838,Los Angeles Angels,7
717847,Arizona Diamondbacks,8
717847,Washington Nationals,9
717834,Arizona Diamondbacks,5
717834,Detroit Tigers,6
717827,Tampa Bay Rays,6
717827,Texas Rangers,11
717839,Baltimore Orioles,8
717839,Kansas City Royals,7
717836,New York Mets,8
717836,Pittsburgh Pirates,4
717837,Los Angeles Dodgers,13
717837,Philadelphia Phillies,8
717841,Boston Red Sox,10
717841,New York Yankees,7
717835,Minnesota Twins,9
717835,Toronto Blue Jays,12
717833,Cleveland Guardians,7
717833,Houston Astros,11
717829,Atlanta Braves,8
717829,Washington Nationals,7
717828,Chicago White Sox,12
717828,Miami Marlins,7
717831,Milwaukee Brewers,13
717831,Oakland Athletics,10
717832,Cincinnati Reds,9
717832,St. Louis Cardinals,8
717830,Colorado Rockies,10
717830,San Diego Padres,6
717824,Los Angeles Angels,11
717824,Seattle Mariners,7
717823,Chicago Cubs,5
717823,San Francisco Giants,9
717821,Arizona Diamondbacks,8
717821,Detroit Tigers,8
