game_pk,team,ks
718693,Miami Marlins,7
718693,New York Mets,11
718685,Cincinnati Reds,10
718685,Philadelphia Phillies,9
718688,Baltimore Orioles,10
718688,New York Yankees,8
718684,Houston Astros,16
718684,Minnesota Twins,12
718693,Miami Marlins,7
718693,New York Mets,11
718675,Chicago Cubs,9
718675,Texas Rangers,11
718685,Cincinnati Reds,10
718685,Philadelphia Phillies,9
718688,Baltimore Orioles,10
718688,New York Yankees,8
718677,Cleveland Guardians,13
718677,Seattle Mariners,9
718684,Houston Astros,16
718684,Minnesota Twins,12
718679,Chicago White Sox,7
718679,Pittsburgh Pirates,8
718680,Kansas City Royals,7
718680,San Francisco Giants,8
718678,Oakland Athletics,9
718678,Tampa Bay Rays,6
718676,Atlanta Braves,9
718676,San Diego Padres,11
718674,Milwaukee Brewers,6
718674,St. Louis Cardinals,8
718673,Colorado Rockies,8
718673,Washington Nationals,5
718670,Los Angeles Angels,6
718670,Toronto Blue Jays,7
718671,Arizona Diamondbacks,5
718671,Los Angeles Dodgers,10
718666,Houston Astros,17
718666,Minnesota Twins,6
718672,Kansas City Royals,10
718672,San Francisco Giants,11
718669,Chicago Cubs,9
718669,Texas Rangers,6
718668,Cincinnati Reds,5
718668,Philadelphia Phillies,15
718667,Boston Red Sox,3
718667,Detroit Tigers,10
718665,Oakland Athletics,10
718665,Tampa Bay Rays,1
718661,Miami Marlins,7
718661,New York Mets,8
718663,Cleveland Guardians,8
718663,Seattle Mariners,7
718662,Chicago White Sox,6
718662,Pittsburgh Pirates,6
718664,Baltimore Orioles,8
718664,New York Yankees,7
718660,Milwaukee Brewers,11
718660,St. Louis Cardinals,9
718659,Atlanta Braves,15
718659,San Diego Padres,11
718656,Arizona Diamondbacks,6
718656,Los Angeles Dodgers,9
718658,Colorado Rockies,6
718658,Washington Nationals,10
718657,Los Angeles Angels,8
718657,Toronto Blue Jays,10
718652,Cincinnati Reds,11
718652,Philadelphia Phillies,9
718654,Boston Red Sox,9
718654,Detroit Tigers,9
718655,Oakland Athletics,9
718655,Tampa Bay Rays,7
718653,Chicago White Sox,9
718653,Pittsburgh Pirates,8
718651,Baltimore Orioles,11
718651,New York Yankees,10
718646,Cleveland Guardians,11
718646,Seattle Mariners,13
718647,Miami Marlins,7
718647,New York Mets,12
718649,Houston Astros,7
718649,Minnesota Twins,11
718650,Milwaukee Brewers,10
718650,St. Louis Cardinals,11
718642,Chicago Cubs,9
718642,Texas Rangers,10
718645,Colorado Rockies,4
718645,Washington Nationals,6
718643,Kansas City Royals,10
718643,San Francisco Giants,11
718644,Los Angeles Angels,14
718644,Toronto Blue Jays,11
718639,Arizona Diamondbacks,9
718639,Los Angeles Dodgers,4
718648,Atlanta Braves,9
718648,San Diego Padres,8
718640,Chicago White Sox,6
718640,Minnesota Twins,13
718637,Cleveland Guardians,4
718637,New York Yankees,8
718635,Baltimore Orioles,8
718635,Oakland Athletics,11
718632,Houston Astros,7
718632,Pittsburgh Pirates,7
718638,Boston Red Sox,10
718638,Tampa Bay Rays,7
718633,Miami Marlins,7
718633,Philadelphia Phillies,6
718634,New York Mets,6
718634,San Diego Padres,14
718636,Atlanta Braves,13
718636,Cincinnati Reds,9
718628,Chicago Cubs,9
718628,Seattle Mariners,9
718630,Kansas City Royals,13
718630,Texas Rangers,6
718629,Colorado Rockies,6
718629,St. Louis Cardinals,6
718631,Los Angeles Angels,8
718631,Washington Nationals,6
718627,Arizona Diamondbacks,6
718627,Milwaukee Brewers,15
718641,Los Angeles Dodgers,11
718641,San Francisco Giants,13
718626,Cleveland Guardians,4
718626,New York Yankees,7
718618,Baltimore Orioles,9
718618,Oakland Athletics,13
718623,Houston Astros,9
718623,Pittsburgh Pirates,7
718625,Boston Red Sox,10
718625,Tampa Bay Rays,9
718619,Miami Marlins,10
718619,Philadelphia Phillies,9
718622,Detroit Tigers,9
718622,Toronto Blue Jays,7
718621,New York Mets,8
718621,San Diego Padres,9
718620,Atlanta Braves,6
718620,Cincinnati Reds,10
718617,Chicago Cubs,4
718617,Seattle Mariners,8
718616,Chicago White Sox,14
718616,Minnesota Twins,15
718615,Kansas City Royals,11
718615,Texas Rangers,6
718613,Colorado Rockies,10
718613,St. Louis Cardinals,8
718614,Los Angeles Angels,7
718614,Washington Nationals,6
718611,Arizona Diamondbacks,8
718611,Milwaukee Brewers,10
718624,Los Angeles Dodgers,11
718624,San Francisco Giants,7
718608,Houston Astros,2
718608,Pittsburgh Pirates,8
718610,New York Mets,7
718610,San Diego Padres,7
718605,Chicago White Sox,5
718605,Minnesota Twins,10
718604,Cleveland Guardians,7
718604,New York Yankees,7
718606,Chicago Cubs,9
718606,Seattle Mariners,11
718607,Colorado Rockies,11
718607,St. Louis Cardinals,13
718598,Arizona Diamondbacks,3
718598,Milwaukee Brewers,9
718609,Miami Marlins,12
718609,Philadelphia Phillies,12
718602,Los Angeles Angels,9
718602,Washington Nationals,6
718599,Baltimore Orioles,7
718599,Oakland Athletics,3
718600,Boston Red Sox,11
718600,Tampa Bay Rays,11
